Date;StockPrice;Sentiment Score;EPS;Revenue;Expense
44944.8333333333;237.15;-4;2.23;51865;31331
44944.875;237.17;-17;2.23;51865;31331
44944.9166666667;235.81;-57;2.23;51865;31331
44944.9583333333;235.81;-2;2.23;51865;31331
44945;235.81;-2;2.23;51865;31331
44945.0416666667;235.81;-2;2.23;51865;31331
44945.0833333333;235.81;-2;2.23;51865;31331
44945.125;235.81;-2;2.23;51865;31331
44945.1666666667;235.81;-2;2.23;51865;31331
44945.2083333333;235.81;-2;2.23;51865;31331
44945.25;235.81;-2;2.23;51865;31331
44945.2916666667;235.81;-2;2.23;51865;31331
44945.3333333333;235.81;-2;2.23;51865;31331
44945.375;235.81;-1;2.23;51865;31331
44945.4166666667;235.81;-14;2.23;51865;31331
44945.4583333333;235.81;-37;2.23;51865;31331
44945.5;235.81;-1;2.23;51865;31331
44945.5416666667;235.81;5;2.23;51865;31331
44945.5833333333;235.81;5;2.23;51865;31331
44945.625;235.81;5;2.23;51865;31331
44945.6666666667;232.875;-16;2.23;51865;31331
44945.7083333333;231.05;-16;2.23;51865;31331
44945.75;231.05;-4;2.23;51865;31331
44945.7916666667;231.65;-4;2.23;51865;31331
44945.8333333333;233.21;-15;2.23;51865;31331
44945.875;233.88;-2;2.23;51865;31331
44945.9166666667;231.93;-2;2.23;51865;31331
44945.9583333333;231.93;-4;2.23;51865;31331
44946;231.93;-4;2.23;51865;31331
44946.0416666667;231.93;-4;2.23;51865;31331
44946.0833333333;231.93;-4;2.23;51865;31331
44946.125;231.93;-4;2.23;51865;31331
44946.1666666667;231.93;-4;2.23;51865;31331
44946.2083333333;231.93;-4;2.23;51865;31331
44946.25;231.93;-3;2.23;51865;31331
44946.2916666667;231.93;-3;2.23;51865;31331
44946.3333333333;231.93;-3;2.23;51865;31331
44946.375;231.93;-3;2.23;51865;31331
44946.4166666667;231.93;-17;2.23;51865;31331
44946.4583333333;231.93;-2;2.23;51865;31331
44946.5;231.93;-16;2.23;51865;31331
44946.5416666667;231.93;-16;2.23;51865;31331
44946.5833333333;231.93;-26;2.23;51865;31331
44946.625;231.93;-7;2.23;51865;31331
44946.6666666667;235.6469;-7;2.23;51865;31331
44946.7083333333;236.12;-26;2.23;51865;31331
44946.75;238.531;-37;2.23;51865;31331
44946.7916666667;238.3299;-7;2.23;51865;31331
44946.8333333333;239.52;-7;2.23;51865;31331
44946.875;239.54;-3;2.23;51865;31331
44946.9166666667;240.22;-3;2.23;51865;31331
44946.9583333333;240.22;10;2.23;51865;31331
44947;240.22;10;2.23;51865;31331
44947.0416666667;240.22;2;2.23;51865;31331
44947.0833333333;240.22;2;2.23;51865;31331
44947.125;240.22;2;2.23;51865;31331
44947.1666666667;240.22;2;2.23;51865;31331
44947.2083333333;240.22;2;2.23;51865;31331
44947.25;240.22;2;2.23;51865;31331
44947.2916666667;240.22;2;2.23;51865;31331
44947.3333333333;240.22;2;2.23;51865;31331
44947.375;240.22;2;2.23;51865;31331
44947.4166666667;240.22;2;2.23;51865;31331
44947.4583333333;240.22;-8;2.23;51865;31331
44947.5;240.22;-8;2.23;51865;31331
44947.5416666667;240.22;-8;2.23;51865;31331
44947.5833333333;240.22;-9;2.23;51865;31331
